Queue_Row,Batch,Restaurant,Offer_Item,Category,Meal_Period,Happy_Hour,Source_URL,Source_Group_ID,P1_Sprint_Status,Source_Text_Archive_Status,Text_Capture_Path,Text_Capture_Hash,Capture_Card_Path,Screenshot_Archive_Status,Food_Copy_Status,Scope_Status,Recurrence_Status,Price,Days_Schedule,Time_Window,Service_Mode,Source_Quote,Remaining_Blocker,Next_Action,Ready_For_Intake_Row
40,Batch 03,San Felipe Mexican Restaurant,L-Burro Roqueta lunch,Lunch Special,,No,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,sg-san-felipe-mexican-restaurant-www-sanfelipenc-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_boundary_scope,source_capture_p1_sprint_2026-07-06/text_captures/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.md,sha256:4c969950691cb5c5f98bbfbdd0bc5609202547fe7a8e87c60fdf4f875d29d2b0,source_capture_p1_sprint_2026-07-06/capture_cards/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.png,manual_pdf_page_2_render_or_archive_needed,food_copy_review,boundary_scope_review_needed_leland_southport,recurrence_ok,,,,,L-BURRO ROQUETA ... served with your choice of rice or refried beans. 10.99; AVAILABLE 11AM - 3PM.,manual_pdf_page_2_render_or_archive_needed; boundary_scope_review_needed_leland_southport,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",conditional_after_review
41,Batch 03,San Felipe Mexican Restaurant,Special Quesadilla lunch,Lunch Special,,No,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,sg-san-felipe-mexican-restaurant-www-sanfelipenc-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_boundary_scope,source_capture_p1_sprint_2026-07-06/text_captures/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.md,sha256:4c969950691cb5c5f98bbfbdd0bc5609202547fe7a8e87c60fdf4f875d29d2b0,source_capture_p1_sprint_2026-07-06/capture_cards/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.png,manual_pdf_page_2_render_or_archive_needed,food_copy_review,boundary_scope_review_needed_leland_southport,recurrence_ok,,,,,SPECIAL QUESADILLA ... served with crema salad. 8.99; AVAILABLE 11AM - 3PM.,manual_pdf_page_2_render_or_archive_needed; boundary_scope_review_needed_leland_southport,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",conditional_after_review
42,Batch 03,San Felipe Mexican Restaurant,Speedy Gonzalez lunch,Lunch Special,,No,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,sg-san-felipe-mexican-restaurant-www-sanfelipenc-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_pdf_text_boundary_scope,source_capture_p1_sprint_2026-07-06/text_captures/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.md,sha256:4c969950691cb5c5f98bbfbdd0bc5609202547fe7a8e87c60fdf4f875d29d2b0,source_capture_p1_sprint_2026-07-06/capture_cards/sg-san-felipe-mexican-restaurant-www-sanfelipenc-com-san-felipe-mexican-restaurant.png,manual_pdf_page_2_render_or_archive_needed,food_copy_review,boundary_scope_review_needed_leland_southport,recurrence_ok,,,,,"SPEEDY GONZALEZ: One taco, one enchilada and your choice of rice or refried beans. 8.99; AVAILABLE 11AM - 3PM.",manual_pdf_page_2_render_or_archive_needed; boundary_scope_review_needed_leland_southport,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",conditional_after_review
66,Batch 04,Tequila's Waterfront,"Friday Half Off Fajitas, 4 PM-close; excluding Trio Fajitas.",Lunch Special,Lunch / Dinner,No,https://tequilaswaterfront.com/menus/,sg-tequila-s-waterfront-tequilaswaterfront-com,source_text_archived_capture_card_created_remaining_review_tasks,weekly_deals_image_present_exact_terms_from_prior_image_capture,source_capture_p1_sprint_2026-07-06/text_captures/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.md,sha256:18aaa10b1fb959b9e6b05b789297552c04185a74089ec9b9f443a046dae790ba,source_capture_p1_sprint_2026-07-06/capture_cards/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.png,durable_image_screenshot_or_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,"Friday: Half Off Fajitas, available 4 PM–close; enjoy half off all fajitas; excluding Trio Fajitas.",durable_image_screenshot_or_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
67,Batch 04,Tequila's Waterfront,"Tue-Fri $10 Lunch Menu, 11 AM-3 PM.",Lunch Special,Lunch,No,https://tequilaswaterfront.com/menus/,sg-tequila-s-waterfront-tequilaswaterfront-com,source_text_archived_capture_card_created_remaining_review_tasks,weekly_deals_image_present_exact_terms_from_prior_image_capture,source_capture_p1_sprint_2026-07-06/text_captures/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.md,sha256:18aaa10b1fb959b9e6b05b789297552c04185a74089ec9b9f443a046dae790ba,source_capture_p1_sprint_2026-07-06/capture_cards/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.png,durable_image_screenshot_or_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,Weekly Deals image: Tue-Fri $10 Lunch Menu 11 AM–3 PM. Lunch Menu image: Available Tuesday-Friday 11 AM–3 PM with listed $10 dishes.,durable_image_screenshot_or_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
68,Batch 04,Tequila's Waterfront,"Tuesday $2 Street Tacos, 4 PM-close; any select street tacos for $2.",Lunch Special,Lunch / Dinner,No,https://tequilaswaterfront.com/menus/,sg-tequila-s-waterfront-tequilaswaterfront-com,source_text_archived_capture_card_created_remaining_review_tasks,weekly_deals_image_present_exact_terms_from_prior_image_capture,source_capture_p1_sprint_2026-07-06/text_captures/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.md,sha256:18aaa10b1fb959b9e6b05b789297552c04185a74089ec9b9f443a046dae790ba,source_capture_p1_sprint_2026-07-06/capture_cards/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.png,durable_image_screenshot_or_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,"Tuesday: $2 Street Tacos, available 4 PM–close; enjoy any select street tacos for only $2; mix & match.",durable_image_screenshot_or_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
69,Batch 04,Tequila's Waterfront,"Wednesday Half Off Wings, 4 PM-close.",Lunch Special,Lunch / Dinner,No,https://tequilaswaterfront.com/menus/,sg-tequila-s-waterfront-tequilaswaterfront-com,source_text_archived_capture_card_created_remaining_review_tasks,weekly_deals_image_present_exact_terms_from_prior_image_capture,source_capture_p1_sprint_2026-07-06/text_captures/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.md,sha256:18aaa10b1fb959b9e6b05b789297552c04185a74089ec9b9f443a046dae790ba,source_capture_p1_sprint_2026-07-06/capture_cards/sg-tequila-s-waterfront-tequilaswaterfront-com-tequila-s-waterfront.png,durable_image_screenshot_or_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,"Wednesday: Half Off Wings, available 4 PM–close; enjoy half off all wings.",durable_image_screenshot_or_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
77,Batch 05,Blue Surf Cafe,2 for $20 sandwiches,Sandwiches / Hotdogs,Dinner,No,https://bluesurfrestaurants.com/menu/,sg-blue-surf-cafe-bluesurfrestaurants-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.md,sha256:3e60ee1224b61f96c13308b662592716c8faa200668b70bb310fd3a2dc9f2b8b,source_capture_p1_sprint_2026-07-06/capture_cards/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,2 for $20 Tuesday Sandwiches + $2.50 Imports!,browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
78,Batch 05,Blue Surf Cafe,$2 off entrees,Other Food Special,Dinner,No,https://bluesurfrestaurants.com/menu/,sg-blue-surf-cafe-bluesurfrestaurants-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.md,sha256:3e60ee1224b61f96c13308b662592716c8faa200668b70bb310fd3a2dc9f2b8b,source_capture_p1_sprint_2026-07-06/capture_cards/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,$2 Fridays – $2 Domestics ALL DAY & $2 OFF Entrees 4-9PM!,browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
79,Batch 05,Blue Surf Cafe,$2 off flatbreads,Other Food Special,Dinner,No,https://bluesurfrestaurants.com/menu/,sg-blue-surf-cafe-bluesurfrestaurants-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.md,sha256:3e60ee1224b61f96c13308b662592716c8faa200668b70bb310fd3a2dc9f2b8b,source_capture_p1_sprint_2026-07-06/capture_cards/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,Thursday Pizza & Beer Night – $2 OFF Flatbreads 4-9PM + $5 Drafts ALL DAY!,browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
80,Batch 05,Blue Surf Cafe,$5 kids menu items,Family / Kids,Dinner,No,https://bluesurfrestaurants.com/menu/,sg-blue-surf-cafe-bluesurfrestaurants-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.md,sha256:3e60ee1224b61f96c13308b662592716c8faa200668b70bb310fd3a2dc9f2b8b,source_capture_p1_sprint_2026-07-06/capture_cards/sg-blue-surf-cafe-bluesurfrestaurants-com-blue-surf-cafe.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,Wednesday Mom & Kids Night – $3 House Wines + $5 Kids Menu Items!,browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
82,Batch 05,Cape Fear Seafood Company - Monkey Junction,12 lunch specials under $15,Lunch Special,Lunch,No,https://capefearseafoodcompany.com/locations/monkey-junction/,sg-cape-fear-seafood-company-monkey-junction-capefearseafoodcompany-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-cape-fear-seafood-company-monkey-junction-capefearseafoodcompany-com-cape-fear-seafood-.md,sha256:a0e061a03eeb1a19e7fe241ae55d988779a679a6b89eba7ee0f439ea09d389d8,source_capture_p1_sprint_2026-07-06/capture_cards/sg-cape-fear-seafood-company-monkey-junction-capefearseafoodcompany-com-cape-fear-seafood-.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,,,,,"12 Lunch Specials under $15, available daily until 4 PM.",browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
84,Batch 05,Caprice Bistro,Coq au Vin Tuesday,Other Food Special,Dinner,No,https://www.capricebistro.com/weekly-specials,sg-caprice-bistro-www-capricebistro-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.md,sha256:4d8de68d5b2e6848cdd9ae420cb6c7357f84ac1a50fd319ccb25b9c0b6c50c04,source_capture_p1_sprint_2026-07-06/capture_cards/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,Every Tuesday; Savor our Coq au Vin: braised chicken thigh in rich Burgundy wine sauce only on Tuesday nights.,browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
85,Batch 05,Caprice Bistro,Daily Petit Plates,Happy Hour Food,Happy Hour,Yes,https://www.capricebistro.com/weekly-specials,sg-caprice-bistro-www-capricebistro-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.md,sha256:4d8de68d5b2e6848cdd9ae420cb6c7357f84ac1a50fd319ccb25b9c0b6c50c04,source_capture_p1_sprint_2026-07-06/capture_cards/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,"Every Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday, 4:00 PM to 6:00 PM; Petit Plates Menu at the bar, bistro tables, sofa lounge or outdoor tables; $7 Caprice Monsieur, Crepe Caprice, Mussels, Calamari, Saucisse, Petit Friture.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
86,Batch 05,Caprice Bistro,Date Night à Deux Wednesdays fromage & charcuterie,Date Night / Prix Fixe,Dinner,No,https://www.capricebistro.com/weekly-specials,sg-caprice-bistro-www-capricebistro-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.md,sha256:4d8de68d5b2e6848cdd9ae420cb6c7357f84ac1a50fd319ccb25b9c0b6c50c04,source_capture_p1_sprint_2026-07-06/capture_cards/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,"Every Wednesday; Shared portion of fromage & charcuterie board for just $15; Plus, enjoy $8 house wines every Wednesday!",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
87,Batch 05,Caprice Bistro,Mussel Mondays,Other Food Special,Dinner,No,https://www.capricebistro.com/weekly-specials,sg-caprice-bistro-www-capricebistro-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.md,sha256:4d8de68d5b2e6848cdd9ae420cb6c7357f84ac1a50fd319ccb25b9c0b6c50c04,source_capture_p1_sprint_2026-07-06/capture_cards/sg-caprice-bistro-www-capricebistro-com-caprice-bistro.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,,,,,"Every Monday; Mussels & Frites for only $15; personal portion of classic steamed mussels with frites in choice of Mariniere, Provençal, or Curry Broth.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
90,Batch 05,Circa 1922,Happy Hour Bites menu signal,Happy Hour Food,Happy Hour,Yes,https://www.circa1922.com/,sg-circa-1922-www-circa1922-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_homepage_parent_signal,source_capture_p1_sprint_2026-07-06/text_captures/sg-circa-1922-www-circa1922-com-circa-1922.md,sha256:22179d3bdac4de976b4d97bf1881ed1e702da3cda83782bbb7b72787bf5be475,source_capture_p1_sprint_2026-07-06/capture_cards/sg-circa-1922-www-circa1922-com-circa-1922.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,,,,,"Homepage menus include Happy Hour Bites; image alt text says Happy Hour bar menu available daily from 5 to 7pm; location is 8 North Front Street, Wilmington.",browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
